"salesperson","year","month","dept","location","units_sold","order_amount","cost"
"Betsy",2004,"April","lip gloss","south",8,288,227
"Hallagan",2004,"March","foundation","midwest",151,448,320
"Ashley",2005,"February","lipstick","midwest",416,402,347
"Hallagan",2006,"May","lip gloss","west",202,650,561
"Zaret",2004,"June","lip gloss","midwest",167,347,219
"Colleen",2005,"November","eye liner","midwest",390,485,392
"Cristina",2004,"March","eye liner","midwest",207,500,427
"Colleen",2006,"December","lip gloss","midwest",134,536,426
"Ashley",2006,"November","eye liner","south",226,499,402
"Betsy",2006,"August","lip gloss","east",188,436,314
"Ashley",2004,"November","mascara","east",295,594,495
"Ashley",2004,"November","lip gloss","west",154,457,373
"Emilee",2005,"August","lip gloss","west",181,454,363
"Hallagan",2005,"January","eye liner","south",380,422,335
"Zaret",2006,"September","foundation","east",85,537,388
"Emilee",2004,"April","mascara","east",125,393,274
"Colleen",2006,"April","mascara","south",59,453,373
"Jen",2005,"November","lip gloss","midwest",356,489,391
"Jen",2004,"November","eye liner","south",15,321,225
"Zaret",2005,"November","lip gloss","midwest",292,622,541
"Zaret",2006,"June","mascara","west",183,552,443
"Betsy",2004,"September","eye liner","midwest",222,565,495
"Colleen",2006,"February","mascara","midwest",292,625,488
"Emilee",2006,"December","lip gloss","west",185,378,273
"Jen",2004,"April","lipstick","midwest",314,592,544
"Cristina",2005,"November","foundation","midwest",126,415,301
"Cristina",2006,"March","lip gloss","midwest",252,567,422
"Cici",2004,"June","mascara","west",260,475,369
"Zaret",2006,"September","mascara","west",222,634,568
"Cici",2006,"February","foundation","west",137,392,264
"Hallagan",2006,"June","foundation","south",219,501,352
"Emilee",2004,"February","eye liner","south",208,581,477
"Emilee",2005,"April","mascara","midwest",237,571,418
"Betsy",2004,"November","foundation","west",219,522,416
"Colleen",2004,"June","lip gloss","midwest",173,395,325
"Emilee",2006,"September","lip gloss","east",162,264,187
"Ashley",2005,"December","mascara","west",156,389,269
"Zaret",2004,"September","eye liner","west",107,550,468
"Emilee",2005,"May","eye liner","south",201,481,373
"Betsy",2004,"November","foundation","west",233,498,392
"Zaret",2004,"November","lip gloss","west",113,528,368
"Zaret",2005,"June","eye liner","midwest",84,437,350
"Hallagan",2004,"November","eye liner","midwest",208,553,460
"Cici",2005,"July","eye liner","midwest",195,350,259
"Cristina",2005,"April","lip gloss","west",109,365,299
"Jen",2006,"May","lip gloss","west",331,516,417
"Cristina",2004,"April","lip gloss","south",317,519,430
"Cici",2004,"June","mascara","midwest",180,430,314
"Cristina",2004,"April","foundation","east",144,376,274
"Cristina",2005,"December","lip gloss","midwest",164,470,361
"Jen",2004,"November","mascara","west",215,519,470
"Colleen",2005,"November","foundation","midwest",221,544,431
"Emilee",2004,"August","foundation","south",494,844,683
"Cici",2004,"December","eye liner","west",292,571,488
"Emilee",2006,"May","eye liner","south",180,535,410
"Ashley",2005,"April","lip gloss","midwest",131,469,351
"Betsy",2005,"November","mascara","south",50,368,232
"Hallagan",2005,"November","foundation","south",67,368,267
"Zaret",2006,"July","lip gloss","west",153,480,439
"Cristina",2005,"January","eye liner","east",244,346,318
"Emilee",2004,"December","eye liner","west",179,287,227
"Ashley",2005,"December","lipstick","west",95,374,340
"Zaret",2004,"June","lipstick","south",107,353,259
"Cristina",2005,"June","foundation","south",88,414,329
"Ashley",2004,"April","mascara","west",328,587,504
"Jen",2005,"January","eye liner","midwest",114,407,335
"Colleen",2006,"March","foundation","west",213,634,530
"Cristina",2004,"January","mascara","east",153,530,377
"Emilee",2006,"December","foundation","south",77,503,391
"Cristina",2005,"February","mascara","south",88,436,333
"Jen",2005,"March","mascara","west",234,387,326
"Jen",2006,"January","lip gloss","east",293,669,516
"Colleen",2005,"July","foundation","midwest",158,528,418
"Cici",2004,"November","foundation","west",169,407,316
"Ashley",2006,"October","eye liner","west",175,366,238
"Cici",2004,"November","foundation","south",195,414,344
"Jen",2005,"August","eye liner","east",139,488,405
"Emilee",2005,"August","eye liner","east",127,512,385
"Zaret",2005,"December","eye liner","south",285,506,417
"Cici",2005,"March","foundation","midwest",226,461,327
"Cici",2006,"June","lipstick","south",116,397,286
"Betsy",2006,"November","eye liner","south",438,563,443
"Jen",2004,"May","mascara","midwest",212,579,457
"Zaret",2004,"April","foundation","west",73,472,335
"Colleen",2006,"May","eye liner","midwest",221,580,471
"Emilee",2005,"August","foundation","south",236,533,469
"Jen",2006,"December","lip gloss","west",93,465,378
"Cristina",2006,"December","foundation","west",161,310,290
